id,target
300000,0.35179806
300001,0.40169418
300002,0.30756384
300003,0.35050654
300004,0.8120378
300005,0.45261693
300006,0.4485676
300007,0.10459638
300008,0.41917214
300009,0.49276635
300010,0.30416316
300011,0.25166485
300012,0.3913132
300013,0.3522946
300014,0.39767948
300015,0.4851219
300016,0.112709284
300017,0.60079944
300018,0.45128447
300019,0.5917613
300020,0.33948326
300021,0.40918663
300022,0.05953139
300023,0.01787576
300024,0.45979917
300025,0.08657688
300026,0.018339336
300027,0.15113065
300028,0.13998348
300029,0.59815854
300030,0.18337813
300031,0.3163383
300032,0.28605345
300033,0.41921812
300034,0.1123786
300035,0.3724811
300036,0.23499787
300037,0.19981682
300038,0.5126222
300039,0.6458863
300040,0.1201714
300041,0.22388756
300042,0.5015314
300043,0.21547168
300044,0.24376217
300045,0.24986485
300046,0.11300075
300047,0.43332145
300048,0.64740646
300049,0.20695648
300050,0.19911507
300051,0.55492073
300052,0.2234517
300053,0.080236435
300054,0.51451796
300055,0.28347272
300056,0.15822747
300057,0.13710758
300058,0.45235884
300059,0.5603484
300060,0.2208809
300061,0.5366044
300062,0.33112413
300063,0.5295392
300064,0.085892886
300065,0.4024197
300066,0.21011901
300067,0.21500042
300068,0.5008241
300069,0.75372446
300070,0.51347154
300071,0.41778335
300072,0.2441509
300073,0.32526916
300074,0.2725696
300075,0.27338207
300076,0.46644694
300077,0.23674232
300078,0.4192369
300079,0.13603437
300080,0.060586095
300081,0.4293479
300082,0.8101802
300083,0.19204256
300084,0.46216935
300085,0.23341304
300086,0.27229145
300087,0.35395616
300088,0.42901248
300089,0.29965496
300090,0.32709113
300091,0.4195426
300092,0.264566
300093,0.14716306
300094,0.4037465
300095,0.44891316
300096,0.33635163
300097,0.32604972
300098,0.12663633
300099,0.21204716
300100,0.01815477
300101,0.57280177
300102,0.33856547
300103,0.10108495
300104,0.36308837
300105,0.2753911
300106,0.32743642
300107,0.39164263
300108,0.37129825
300109,0.20920941
300110,0.20734471
300111,0.025423467
300112,0.21330386
300113,0.47670037
300114,0.2914748
300115,0.2557545
300116,0.6796198
300117,0.4695657
300118,0.42722422
300119,0.25514084
300120,0.19634983
300121,0.47628513
300122,0.2857827
300123,0.62029994
300124,0.2090238
300125,0.28777075
300126,0.2957263
300127,0.52102554
300128,0.40905398
300129,0.5308108
300130,0.25702956
300131,0.26581204
300132,0.24756435
300133,0.43534204
300134,0.5490732
300135,0.16339183
300136,0.07390213
300137,0.5902656
300138,0.8403226
300139,0.3282516
300140,0.54497635
300141,0.27129778
300142,0.15198651
300143,0.30994174
300144,0.383613
300145,0.38124683
300146,0.48483506
300147,0.1978378
300148,0.2996942
300149,0.16334793
300150,0.10384524
300151,0.0364289
300152,0.17917916
300153,0.4070974
300154,0.49838215
300155,0.18956414
300156,0.41421407
300157,0.09774548
300158,0.19020209
300159,0.2186172
300160,0.14357314
300161,0.3188699
300162,0.2570399
300163,0.20966914
300164,0.4130938
300165,0.20731837
300166,0.09915185
300167,0.071911156
300168,0.25456744
300169,0.29175478
300170,0.3961567
300171,0.802836
300172,0.1403026
300173,0.025422364
300174,0.069226116
300175,0.12998405
300176,0.22171521
300177,0.599722
300178,0.3336352
300179,0.2725281
300180,0.20563179
300181,0.3884895
300182,0.7723557
300183,0.5928652
300184,0.4401686
300185,0.3843307
300186,0.22837994
300187,0.16294146
300188,0.51330626
300189,0.18904263
300190,0.3116163
300191,0.42512962
300192,0.26659423
300193,0.07628116
300194,0.2745406
300195,0.06518766
300196,0.49789816
300197,0.23799843
300198,0.31780618
300199,0.29256266
300200,0.2052432
300201,0.3849339
300202,0.35694253
300203,0.40653417
300204,0.5731044
300205,0.3668037
300206,0.48808542
300207,0.36909407
300208,0.4090069
300209,0.37588352
300210,0.5073919
300211,0.33243793
300212,0.12609342
300213,0.44284654
300214,0.14678097
300215,0.14513674
300216,0.1965644
300217,0.5315729
300218,0.07266706
300219,0.012239248
300220,0.15434146
300221,0.25812024
300222,0.0616152
300223,0.24839094
300224,0.30533263
300225,0.17336312
300226,0.37624177
300227,0.22673249
300228,0.17212519
300229,0.1495862
300230,0.42573643
300231,0.160213
300232,0.1540995
300233,0.5616231
300234,0.23715201
300235,0.4695478
300236,0.18445402
300237,0.36429578
300238,0.09260723
300239,0.1574327
300240,0.12874031
