id,target
300000,0.48495534
300001,0.3626948
300002,0.22617796
300003,0.28703266
300004,0.8160124
300005,0.5098667
300006,0.422375
300007,0.08690843
300008,0.27404976
300009,0.39608577
300010,0.3390339
300011,0.2203559
300012,0.40055045
300013,0.41419846
300014,0.28192645
300015,0.5898457
300016,0.090159714
300017,0.60455334
300018,0.59981686
300019,0.7755376
300020,0.43060338
300021,0.46265852
300022,0.086918384
300023,0.01344654
300024,0.36510992
300025,0.121899605
300026,0.06519705
300027,0.08936247
300028,0.16392794
300029,0.59257424
300030,0.16695088
300031,0.2906903
300032,0.23116142
300033,0.34603372
300034,0.18852255
300035,0.34413746
300036,0.2975229
300037,0.24608508
300038,0.43300384
300039,0.63381815
300040,0.12278333
300041,0.24622047
300042,0.22616643
300043,0.20323402
300044,0.5138969
300045,0.16156083
300046,0.24492162
300047,0.46233386
300048,0.5795135
300049,0.09224039
300050,0.12598926
300051,0.570734
300052,0.25091553
300053,0.053906053
300054,0.5248915
300055,0.3669806
300056,0.19900766
300057,0.12168777
300058,0.28270507
300059,0.6253881
300060,0.2600342
300061,0.50334173
300062,0.15685138
300063,0.49185312
300064,0.09278411
300065,0.5056374
300066,0.18588743
300067,0.26157692
300068,0.4235289
300069,0.78330874
300070,0.44056654
300071,0.48516083
300072,0.28164685
300073,0.3840044
300074,0.28141642
300075,0.3796268
300076,0.30232832
300077,0.23740512
300078,0.28356278
300079,0.2219288
300080,0.10556832
300081,0.42635268
300082,0.92562175
300083,0.2411851
300084,0.29629725
300085,0.27712005
300086,0.27827114
300087,0.32600868
300088,0.32340318
300089,0.23077667
300090,0.3175197
300091,0.4991899
300092,0.33930022
300093,0.20396248
300094,0.4278772
300095,0.43750802
300096,0.35526675
300097,0.31211483
300098,0.07911906
300099,0.24267486
300100,0.026873618
300101,0.57325923
300102,0.3609149
300103,0.10771319
300104,0.2807222
300105,0.3010667
300106,0.32220846
300107,0.39239052
300108,0.31627914
300109,0.2153146
300110,0.3718019
300111,0.07791838
300112,0.23694515
300113,0.52463865
300114,0.1663852
300115,0.30414444
300116,0.7021508
300117,0.64082634
300118,0.47607028
300119,0.22104767
300120,0.16485316
300121,0.4894526
300122,0.25656062
300123,0.60395813
300124,0.2948634
300125,0.32765526
300126,0.36604524
300127,0.56806296
300128,0.45099542
300129,0.5293259
300130,0.12011284
300131,0.3133549
300132,0.26444826
300133,0.50124186
300134,0.7468782
300135,0.12782913
300136,0.074325025
300137,0.60708755
300138,0.96395123
300139,0.2710384
300140,0.56505275
300141,0.06985062
300142,0.1612136
300143,0.29738286
300144,0.3088392
300145,0.3358168
300146,0.63562214
300147,0.25179854
300148,0.29292086
300149,0.19582158
300150,0.10024959
300151,0.042586267
300152,0.15979344
300153,0.30799976
300154,0.4824837
300155,0.32037964
300156,0.7597113
300157,0.10881367
300158,0.28521538
300159,0.11637345
300160,0.23152867
300161,0.38166624
300162,0.31335658
300163,0.28781748
300164,0.33129436
300165,0.26336718
300166,0.09535918
300167,0.14527437
300168,0.23543152
300169,0.4469876
300170,0.3941518
300171,0.84232676
300172,0.22421026
300173,0.11384517
300174,0.21876255
300175,0.15197858
300176,0.370061
300177,0.5646297
300178,0.4380672
300179,0.3613769
300180,0.29619068
300181,0.4009742
300182,0.7450351
300183,0.52807856
300184,0.39991027
300185,0.37964135
300186,0.23016119
300187,0.3615813
300188,0.53334683
300189,0.26858437
300190,0.32655123
300191,0.49355194
300192,0.41103828
300193,0.051238477
300194,0.18802649
300195,0.09662044
300196,0.55430615
300197,0.2836309
300198,0.27114445
300199,0.3195045
300200,0.3321919
300201,0.4787998
300202,0.28339624
300203,0.24282485
300204,0.64877605
300205,0.38846132
300206,0.28002465
300207,0.3811584
300208,0.409733
300209,0.32186532
300210,0.32468647
300211,0.4609953
300212,0.14820659
300213,0.45641413
300214,0.17273292
300215,0.11838856
300216,0.1990031
300217,0.53981847
300218,0.04905793
300219,0.011548549
300220,0.16051894
300221,0.2257117
300222,0.027768016
300223,0.26585668
300224,0.32297564
300225,0.19018343
300226,0.26315194
300227,0.16345859
300228,0.17285162
300229,0.11950895
300230,0.43810955
300231,0.09868908
300232,0.11313653
300233,0.5785698
300234,0.29223368
300235,0.4745505
300236,0.18515113
300237,0.47322574
300238,0.09796736
300239,0.19117224
300240,0.16334656
300241,0.29600242
300242,0.48481277
300243,0.42345265
300244,0.34368518
300245,0.17326593
300246,0.8588667
300247,0.2038418
300248,0.61265075
300249,0.12359363
300250,0.36297417
300251,0.85620534
300252,0.092535794
300253,0.38770175
300254,0.56676143
300255,0.47934565
300256,0.3840918
300257,0.045849174
300258,0.22068363
300259,0.4923142
300260,0.71677774
300261,0.44348556
300262,0.37531063
300263,0.5776223
300264,0.5459853
300265,0.082124025
300266,0.4759616
300267,0.6901361
300268,0.19807631
300269,0.40398064
300270,0.66569984
300271,0.13552353
300272,0.40152574
300273,0.16469866
300274,0.87613416
300275,0.28635097
300276,0.41477174
300277,0.73493904
300278,0.11553362
300279,0.337467
300280,0.2147161
300281,0.11024749
300282,0.06321508
300283,0.07598612
300284,0.24532846
300285,0.47800824
300286,0.08304739
300287,0.11466858
300288,0.56355983
300289,0.54930025
300290,0.62289786
300291,0.18437812
300292,0.30958366
300293,0.6826469
300294,0.11488739
300295,0.21287239
300296,0.9125757
300297,0.04570183
300298,0.27494708
300299,0.56246984
300300,0.6279459
300301,0.5836932
300302,0.07036358
300303,0.22294953
300304,0.5560489
300305,0.40915447
300306,0.45005476
300307,0.24277127
300308,0.22895965
300309,0.22628546
300310,0.33503607
300311,0.034544557
300312,0.11042726
300313,0.2804763
300314,0.4299446
300315,0.36673212
300316,0.3532222
300317,0.50068563
300318,0.1321828
300319,0.71635914
300320,0.5979832
300321,0.16831645
300322,0.33144087
300323,0.06413993
300324,0.29428834
300325,0.19094127
300326,0.12377316
300327,0.2689125
300328,0.14381692
300329,0.31987086
300330,0.26355782
300331,0.19056574
300332,0.17294154
300333,0.5057293
300334,0.29240698
300335,0.44088477
300336,0.5586841
300337,0.9278852
300338,0.08278659
300339,0.24474955
300340,0.7153143
300341,0.54990464
300342,0.35916877
300343,0.10890412
300344,0.2114074
300345,0.14937606
300346,0.34337622
